"","TPL_names","company_name_checked_tog","webpage_check_tog","n.company","n.webpage_check","PIC.id_tog","province_tog","city_tog","n.province","n.city","seed_1","adult_1","vegetative_1","seed_0","adult_0","vegetative_0","seed_max","adult_max","vegetative_max","hard_zone_min_suitable_1","hard_zone_min_suitable_0","hard_zone_min_suitable_na","mean.height","Standardized_names","id_checklist","TPL_Group","Family","TPL_Family","TPL_New.Genus","TPL_New.Hybrid.marker","TPL_New.Species","TPL_New.Infraspecific.rank","TPL_New.Infraspecific","TPL_New.Authority","TPL_New.ID","TPL_New.Taxonomic.status","TPL_Date","tip.label","tip.order","match.type","naturalized_status_bs_yan_etal_2019","naturalized_status_before2022","Height_max_tog","Height_max_max","Height_max_data_source_tog","Epiphyte_max","Climber_max","Parasite_max","Aquatic_max","Free_standing_Woody","Short_lived_Herb","Long_lived_Herb","Life_form_new","LF_data_source","wcup_eco_use_AF","wcup_eco_use_EU","wcup_eco_use_FU","wcup_eco_use_GS","wcup_eco_use_HF","wcup_eco_use_IF","wcup_eco_use_MA","wcup_eco_use_ME","wcup_eco_use_PO","wcup_eco_use_SU","wcup_eco_use_num","hard_zone_min_mx","hard_zone_max_mx","Invasion2014_status","X2018invasion_status","Invasion2018_status","naturalized_status","prov_sum_EN","prov_sum_CHN","bg_num","chklst_prov_num","new_sum.L3.code","residence_time_to_2020","hab_suit_prop_max","prop_type"
"457","Grevillea robusta","中山市庭院管家园林绿化工程有限公司","https://shop9197498rg8p85.1688.com",1,1,"pic6517","广东","中山市",1,1,0,1,0,1,0,1,0,1,0,1,0,0,120,"Grevillea robusta","Species_11076","Angiosperms","Proteaceae","Proteaceae","Grevillea",NA,"robusta",NA,NA,"A.Cunn. ex R.Br.","kew-2832700","Accepted","2019/03/24 00:00:00","Grevillea_robusta",8633,"directly matched","not_naturalized",0,"35; 12",35,"EGF2; DavesGarden",0,0,0,0,1,0,0,3,"TPL_Tiplabels_LF_fine",1,1,1,1,1,1,1,1,1,0,9,9,10,0,NA,0,0,NA,NA,19,13,2,102,0.04610185,3
"458","Guzmania conifera","广州瀚兰云花卉厂; 广州圣景农业发展有限公司; 宿迁花仙美商贸有限公司; 漳平市永福花通花木场; 漳平市永福锶逸花场","https://hanlanyu.1688.com; https://shop55r10295vf998.1688.com; https://shop08g4821040899.1688.com; https://zpyaer.1688.com; https://shop1403283342975.1688.com",5,5,"pic6518; pic6519; pic6520; pic6521; pic6522","广东; 江苏; 福建","广州市; 宿迁市; 龙岩市",3,3,0,5,0,5,0,5,0,1,0,NA,NA,5,45,"Guzmania conifera","Species_8174","Angiosperms","Bromeliaceae","Bromeliaceae","Guzmania",NA,"conifera",NA,NA,"(Andr<U+00A8><U+00A6>) Andr<U+00A8><U+00A6> ex Mez","kew-247484","Accepted","2019/03/24 00:00:00","Guzmania_conifera",10646,"directly matched","not_naturalized",0,NA,NA,NA,1,0,0,0,0,0,1,2,"TPL_Tiplabels_LF_fine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,0,NA,NA,6,7,3,NA,NA,NA
"459","Guzmania lingulata var. concolor","广州市峰阁园艺有限公司","https://crazy1459.1688.com",1,1,"pic6523","广东","广州市",1,1,0,1,0,1,0,1,0,1,0,NA,NA,1,NA,"Guzmania lingulata var. concolor","Species_8181","Angiosperms","Bromeliaceae","Bromeliaceae","Guzmania",NA,"lingulata","var.","concolor","Proctor & Cede<U+00F1>o-Mald.","kew-340968","Accepted","2019/03/24 00:00:00","Guzmania_lingulata_var._concolor",10518,"species added to genus root","not_naturalized",0,"0.45",0.45,"EGF2",1,0,0,0,0,0,1,2,"TPL_Tiplabels_LF_fine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,0,NA,NA,4,5,25,NA,0,2
"460","Gymnocalycium anisitsii","龙海市九湖诗涵园艺场; 龙海市乡下人园艺有限公司","https://shop084w3u9035121.1688.com; https://xxryyal.1688.com",2,2,"pic6524; pic6525","福建","漳州市",1,1,0,2,0,2,0,2,0,1,0,2,0,0,2,"Gymnocalycium anisitsii","Species_21803","Angiosperms","Cactaceae","Cactaceae","Gymnocalycium",NA,"anisitsii",NA,NA,"(K.Schum.) Britton & Rose","kew-2835529","Accepted","2019/03/24 00:00:00","Gymnocalycium_anisitsii",7160,"species added to genus root","not_naturalized",0,"0.08; 0.15; 0.3",0.3,"EGF2; DavesGarden",0,0,0,0,1,0,1,3,"TPL_Tiplabels_LF_fine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,9,11,0,NA,0,0,NA,NA,7,9,3,NA,NA,3
"461","Gymnocalycium anisitsii subsp. damsii","龙海市九湖诗涵园艺场; 龙海市九湖特尔花卉场","https://shop084w3u9035121.1688.com; https://teerflower.1688.com",2,2,"pic6526; pic6527","福建","漳州市",1,1,0,2,0,2,0,2,0,1,0,2,0,0,3.5,"Gymnocalycium anisitsii subsp. damsii","Species_21804","Angiosperms","Cactaceae","Cactaceae","Gymnocalycium",NA,"anisitsii","subsp.","damsii","(K.Schum.) G.J.Charles","kew-2835530","Accepted","2019/03/24 00:00:00","Gymnocalycium_anisitsii_subsp._damsii",7350,"directly matched","not_naturalized",0,"0.08; 0.15",0.15,"EGF2; DavesGarden",0,0,0,0,0,0,1,2,"TPL_Tiplabels_LF_fine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,9,11,0,NA,0,0,NA,NA,2,3,1,NA,NA,3
"462","Gymnocalycium baldianum","广州合利园艺有限公司; 惠州市希百科技有限公司; 龙海市嘉龙园艺有限公司; 龙海市九湖宏叶园艺场; 龙海市九湖诗涵园艺场; 龙海市九湖永泰花果经营部; 龙海市乡下人园艺有限公司; 龙海市颜厝松宇园艺场; 深圳市宝安区水云间微景观材料批发厂; 深圳市龙华区观澜蓝天花卉商行; 深圳市南山区芊蔚葶电子商务商行; 沭阳和泰花木园艺场; 沭阳景佳园艺有限公司; 沭阳同林苗木场; 沭阳县锦淇花木园艺场; 沭阳县凯凯苗木场; 沭阳县沭城思嘉苗木经营部; 沭阳县新河镇昌汇园林苗木场; 沭阳县新河镇海上花绿化苗木场; 沭阳县新河镇苏之叶苗木场; 沭阳县颜集镇鼎仁园林绿化苗木场; 沭阳县颜集镇山景缘绿化苗木场; 宿迁国宏园林绿化工程源头厂家; 魏信娥; 永志花木源头厂家","https://shop90443h41x49k6.1688.com; https://xibaikeji.1688.com; https://jialongyy.1688.com; https://shop8tv36869735n2.1688.com; https://shop084w3u9035121.1688.com; https://shop56237973avu94.1688.com; https://xxryyal.1688.com; https://shop1435856187166.1688.com; https://shop1411490671488.1688.com; https://shop4972151822284.1688.com; https://qwt17052690100.1688.com; https://shop77777.1688.com; https://353239238.1688.com; https://shop1395075635677.1688.com; https://shop1401124048031.1688.com; https://shop1397235471688.1688.com; https://shop30x2r92809723.1688.com; https://shop1433004868405.1688.com; https://shop1438966467758.1688.com; https://15951536864.1688.com; https://shop1429116696432.1688.com; https://shop1396457831512.1688.com; https://shop8639x60578172.1688.com; https://shop5h71y35508h26.1688.com; https://shop1398185967906.1688.com",25,25,"pic6528; pic6529; pic6530; pic6531; pic6532; pic6533; pic6534; pic6535; pic6536; pic6537; pic6538; pic6539; pic6540; pic6541; pic6542; pic6543; pic6544; pic6545; pic6546; pic6547; pic6548; pic6549; pic6550; pic6551; pic6552","广东; 福建; 江苏","广州市; 漳州市; 深圳市; 宿迁市; 梅州市",3,5,0,25,0,25,0,25,0,1,0,12,13,0,7.28947368421053,"Gymnocalycium baldianum","Species_21805","Angiosperms","Cactaceae","Cactaceae","Gymnocalycium",NA,"baldianum",NA,NA,"(Speg.) Speg.","kew-2835543","Accepted","2019/03/24 00:00:00","Gymnocalycium_baldianum",7379,"directly matched","not_naturalized",0,"0.04; 0.15; 0.3",0.3,"EGF2; DavesGarden",0,0,0,0,1,0,1,3,"TPL_Tiplabels_LF_fine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,8,11,0,NA,0,0,NA,NA,7,7,1,5,NA,3
"463","Gymnocalycium chiquitanum","龙海市乡下人园艺有限公司","https://xxryyal.1688.com",1,1,"pic6553","福建","漳州市",1,1,0,1,0,1,0,1,0,1,0,1,0,0,3,"Gymnocalycium chiquitanum","Species_21812","Angiosperms","Cactaceae","Cactaceae","Gymnocalycium",NA,"chiquitanum",NA,NA,"C<U+00A8><U+00A2>rdenas","kew-2835585","Accepted","2019/03/24 00:00:00","Gymnocalycium_chiquitanum",7389,"directly matched","not_naturalized",0,"0.04; 0.15",0.15,"EGF2; DavesGarden",0,0,0,0,1,0,1,3,"TPL_Tiplabels_LF_fine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,9,11,0,NA,0,0,NA,NA,3,4,1,NA,NA,3
"464","Gymnocalycium eurypleurum","龙海市九湖诗涵园艺场; 龙海市九湖特尔花卉场; 龙海市乡下人园艺有限公司","https://shop084w3u9035121.1688.com; https://teerflower.1688.com; https://xxryyal.1688.com",3,3,"pic6554; pic6555; pic6556","福建","漳州市",1,1,0,3,0,3,0,3,0,1,0,3,0,0,4.33333333333333,"Gymnocalycium eurypleurum","Species_21815","Angiosperms","Cactaceae","Cactaceae","Gymnocalycium",NA,"eurypleurum",NA,NA,"F.Ritter","kew-2835613","Accepted","2019/03/24 00:00:00","Gymnocalycium_eurypleurum",7354,"directly matched","not_naturalized",0,"0.15",0.15,"DavesGarden",0,0,0,0,1,0,0,3,"TPL_Tiplabels_LF_fine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,9,11,0,NA,0,0,NA,NA,3,5,1,NA,NA,1
"465","Gymnocalycium horstii","龙海市九湖诗涵园艺场","https://shop084w3u9035121.1688.com",1,1,"pic6557","福建","漳州市",1,1,0,1,0,1,0,1,0,1,0,1,0,0,6,"Gymnocalycium horstii","Species_21818","Angiosperms","Cactaceae","Cactaceae","Gymnocalycium",NA,"horstii",NA,NA,"Buining","kew-2835650","Accepted","2019/03/24 00:00:00","Gymnocalycium_horstii",7367,"directly matched","not_naturalized",0,"0.07; 0.15; 0.3",0.3,"EGF2; DavesGarden",0,0,0,0,1,0,1,3,"TPL_Tiplabels_LF_fine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,8,11,0,NA,0,0,NA,NA,3,4,1,NA,NA,3
"466","Gymnocalycium horstii subsp. buenekeri","龙海市九湖诗涵园艺场","https://shop084w3u9035121.1688.com",1,1,"pic6558","福建","漳州市",1,1,0,1,0,1,0,1,0,1,0,1,0,0,2,"Gymnocalycium horstii subsp. buenekeri","Species_21819","Angiosperms","Cactaceae","Cactaceae","Gymnocalycium",NA,"horstii","subsp.","buenekeri","(Swales) P.J.Braun & Hofacker","kew-2835651","Accepted","2019/03/24 00:00:00","Gymnocalycium_horstii_subsp._buenekeri",7161,"species added to genus root","not_naturalized",0,"0.15",0.15,"DavesGarden",0,0,0,0,0,0,1,2,"TPL_Tiplabels_LF_fine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,9,11,0,NA,0,0,NA,NA,1,4,1,NA,NA,3
"467","Gymnocalycium saglionis","福建省仙卉园林有限公司; 龙海市榜山小山林花卉园艺场; 龙海市嘉龙园艺有限公司; 龙海市九湖俊鹏花卉经营部; 龙海市九湖特尔花卉场; 龙海市乡下人园艺有限公司; 龙海市颜厝松宇园艺场; 魏信娥; 漳州市鑫隆达园艺有限公司","https://xianhuiyuanlin.1688.com; https://xiaoshanlin888.1688.com; https://jialongyy.1688.com; https://shop1465750961001.1688.com; https://teerflower.1688.com; https://xxryyal.1688.com; https://shop1435856187166.1688.com; https://shop5h71y35508h26.1688.com; https://shop4l4u1198573u4.1688.com",9,9,"pic6559; pic6560; pic6561; pic6562; pic6563; pic6564; pic6565; pic6566; pic6567","福建; 广东","漳州市; 梅州市",2,2,0,9,0,9,0,9,0,1,0,9,0,0,24.5,"Gymnocalycium saglionis","Species_21848","Angiosperms","Cactaceae","Cactaceae","Gymnocalycium",NA,"saglionis",NA,NA,"(Cels) Britton & Rose","kew-2835826","Accepted","2019/03/24 00:00:00","Gymnocalycium_saglionis",7355,"directly matched","not_naturalized",0,"0.3; 0.9",0.9,"DavesGarden",0,0,0,0,1,0,1,3,"TPL_Tiplabels_LF_fine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,9,11,0,NA,0,0,NA,NA,10,10,1,NA,NA,3
"468","Haageocereus multangularis","龙海市嘉龙园艺有限公司","https://jialongyy.1688.com",1,1,"pic6568","福建","漳州市",1,1,0,1,0,1,0,1,0,1,0,1,0,0,100,"Haageocereus multangularis","Species_22102; Species_22104","Angiosperms","Cactaceae","Cactaceae","Haageocereus",NA,"multangularis",NA,NA,"(Haw.) F. Ritter","tro-5101817","Accepted","2019/03/24 00:00:00","Haageocereus_multangularis",7345,"matched after tpl standardization of phylogeny","not_naturalized",0,"1.5; 0.9; 1.8",1.8,"EGF2; DavesGarden",0,0,0,0,1,0,0,3,"TPL_Tiplabels_LF_fine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,10,11,0,NA,0,0,NA,NA,3,5,1,NA,NA,3
"469","Hakonechloa macra","上海赏叶园艺有限公司","https://shangyeyuanyi.1688.com",1,1,"pic6569","上海","上海市",1,1,0,1,0,1,0,1,0,1,0,1,0,0,20,"Hakonechloa macra","Species_9871","Angiosperms","Poaceae","Poaceae","Hakonechloa",NA,"macra",NA,NA,"(Munro) Honda","kew-418287","Accepted","2019/03/24 00:00:00","Hakonechloa_macra",9879,"directly matched","not_naturalized",0,"0.75; 0.45; 0.9",0.9,"EGF2; DavesGarden",0,0,0,0,0,0,1,2,"TPL_Tiplabels_LF_fine",0,1,0,0,0,0,0,0,0,0,1,5,11,0,NA,0,0,NA,NA,2,4,1,101,0.10604,3
"470","Handroanthus chrysanthus","成都芳草芊芊园林绿化工程有限公司; 福建润晟园艺有限公司; 江苏奥淇园林绿化工程有限公司; 龙海市博豪园林绿化工程有限公司; 龙海市九湖佳信园艺场; 龙海市九湖绿萱花卉场; 龙海市九湖盛大园艺场; 龙海市九湖文轩园艺场; 龙海市九湖缘洲绿园艺场; 龙海市九湖镇御景园林场; 龙海市三君子花木专业合作社; 普宁市广太玉江花卉经营部; 普宁市聚锋园林绿化工程有限公司; 沭阳县弘善园林绿化工程有限公司; 沭阳县佳康园林绿化苗木场; 沭阳县美羡仙花木园艺场; 沭阳县梦馨源苗木园艺场; 沭阳县瑞智花卉苗木园艺场; 沭阳县新河镇泰豪苗木园艺场; 沭阳县溢芳花卉园; 宿迁市阿里园林绿化工程有限公司; 翁瑞明; 雅安市业之欣种植专业合作社; 漳浦好客园艺源头厂家; 漳浦县贰六六园林专业合作社; 漳浦县官浔镇九州园艺场; 漳浦县官浔镇荣福园艺场; 漳浦县官浔镇榕翔苗木场; 漳浦县官浔镇双景园艺场; 漳浦县官浔镇毅峰园艺场; 漳浦县华润养殖有限公司; 漳浦县马口百佳园艺场; 漳浦县马口宏景园艺场; 漳浦县马口宏远园艺场; 漳浦县马口绿慧园艺场; 漳浦县马口乔农园艺场; 漳浦县马口盛绿园艺场; 漳浦县马口信艺园艺场; 漳浦县闽都园艺场; 漳浦县闽杉苗木场; 漳浦县铭城园林专业合作社; 漳浦县盛放园林绿化有限公司; 漳州市旺木园林绿化工程有限公司; 漳州市芗城区逸辰苗木中心; 漳州市友宏园林绿化工程有限公司; 漳州鑫春园林绿化工程有限公司","https://shop2f8u9029013h9.1688.com; https://shop8314166it04p7.1688.com; https://aoqimiaomu.1688.com; https://shop9m42848344771.1688.com; https://shop38608329f2bu8.1688.com; https://fjlxhh.1688.com; https://shengdayuanyi.1688.com; https://shop76m692m46f761.1688.com; https://shop38hi410771625.1688.com; https://lhyjylc.1688.com; https://shop1460566189994.1688.com; https://yujiangmmc.1688.com; https://shop87123t432q058.1688.com; https://shop1438188714981.1688.com; https://shop1409244121414.1688.com; https://883388.1688.com; https://cxzy5588.1688.com; https://shop1411922874804.1688.com; https://thhm1688.1688.com; https://yifangzhongye.1688.com; https://caohua.1688.com; https://shop1363774282523.1688.com; https://yayzxzz.1688.com; https://haokeyy.1688.com; https://erliuliu.1688.com; https://shop63207635f6m66.1688.com; https://rfyyc666.1688.com; https://shop1458579774093.1688.com; https://shuangjingyy.1688.com; https://zpyfyyc.1688.com; https://shop1395195729679.1688.com; https://shop1464368145058.1688.com; https://shop1419612465645.1688.com; https://shop55232d77439n9.1688.com; https://shop1451321381043.1688.com; https://zpqnyy.1688.com; https://shenglvyy.1688.com; https://shop1440780696518.1688.com; https://zzmdyyc.1688.com; https://shop65n7745240506.1688.com; https://shop432ms8352n989.1688.com; https://shop6828079439966.1688.com; https://shop58761q38v7197.1688.com; https://shop1432918743183.1688.com; https://shop158107p8473c9.1688.com; https://18959625711.1688.com",46,46,"pic6570; pic6571; pic6572; pic6573; pic6574; pic6575; pic6576; pic6577; pic6578; pic6579; pic6580; pic6581; pic6582; pic6583; pic6584; pic6585; pic6586; pic6587; pic6588; pic6589; pic6590; pic6591; pic6592; pic6593; pic6594; pic6595; pic6596; pic6597; pic6598; pic6599; pic6600; pic6601; pic6602; pic6603; pic6604; pic6605; pic6606; pic6607; pic6608; pic6609; pic6610; pic6611; pic6612; pic6613; pic6614; pic6615; pic6616; pic6617; pic6618","四川; 福建; 江苏; 广东","成都市; 漳州市; 宿迁市; 揭阳市; 淮安市; 雅安市",4,6,6,40,0,40,6,46,1,1,0,35,11,0,424.5,"Handroanthus chrysanthus","Species_27379","Angiosperms","Bignoniaceae","Bignoniaceae","Handroanthus",NA,"chrysanthus",NA,NA,"(Jacq.) S.O.Grose","kew-347059","Accepted","2019/03/24 00:00:00","Handroanthus_chrysanthus",4301,"directly matched","not_naturalized",0,"12",12,"DavesGarden",0,0,0,0,1,0,0,3,"TPL_Tiplabels_LF_fine",0,0,0,0,0,0,1,1,0,0,2,10,11,0,NA,0,0,NA,NA,7,7,19,NA,0.03411421,1
"471","Handroanthus chrysotrichus","普宁市汉松花木有限公司","https://shop1417064336910.1688.com",1,1,"pic6619","广东","揭阳市",1,1,0,1,0,1,0,1,0,1,0,1,0,0,500,"Handroanthus chrysotrichus","Species_27380","Angiosperms","Bignoniaceae","Bignoniaceae","Handroanthus",NA,"chrysotrichus",NA,NA,"(Mart. ex DC.) Mattos","kew-317139","Accepted","2019/03/24 00:00:00","Handroanthus_chrysotrichus",4298,"matched after tpl standardization of phylogeny","not_naturalized",0,"12",12,"DavesGarden",NA,NA,NA,NA,NA,NA,NA,NA,"TPL_Tiplabels_LF_fine",0,0,0,0,0,0,1,1,0,0,2,9,11,0,NA,0,0,NA,NA,5,5,4,NA,0.02900142,1
"472","Harrisia martinii","福建省仙卉园林有限公司; 龙海市嘉龙园艺有限公司","https://xianhuiyuanlin.1688.com; https://jialongyy.1688.com",2,2,"pic6620; pic6621","福建","漳州市",1,1,0,2,0,2,0,2,0,1,0,2,0,0,50,"Harrisia martinii","Species_22119","Angiosperms","Cactaceae","Cactaceae","Harrisia",NA,"martinii",NA,NA,"(Labour.) Britton","tro-5100625","Accepted","2019/03/24 00:00:00","Harrisia_martinii",7413,"directly matched","not_naturalized",0,"2; 3.6",3.6,"EGF2; DavesGarden",0,1,0,0,1,0,1,3,"TPL_Tiplabels_LF_fine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,9,11,0,NA,0,0,NA,NA,9,10,2,NA,0.04205783,3
"473","Haworthia arachnoidea var. nigricans","龙海市九湖宏叶园艺场; 龙海市九湖特尔花卉场; 龙海市九湖小萌园艺场; 龙海市九湖馨韬园艺场; 上海天羽园林绿化有限公司; 上海小全园艺有限公司; 深圳市宝安区水云间微景观材料批发厂; 圣玛帝实力卖场; 沭阳博奇花木园艺场; 沭阳县庙头镇福盈瑞绿化苗木场; 沭阳县潼阳镇姐妹双姝花卉销售中心","https://shop8tv36869735n2.1688.com; https://teerflower.1688.com; https://shoplhjhxmyyc.1688.com; https://shop703176x4s5956.1688.com; https://shhtianyu.1688.com; https://shxiaoquanyuanyi.1688.com; https://shop1411490671488.1688.com; https://shop1439783300894.1688.com; https://shop1385053043758.1688.com; https://shop1491498647250.1688.com; https://shop1427907187293.1688.com",11,11,"pic6622; pic6623; pic6624; pic6625; pic6626; pic6627; pic6628; pic6629; pic6630; pic6631; pic6632","福建; 上海; 江苏; 广东; 浙江","漳州市; 上海市; 无锡市; 广州市; 杭州市; 宿迁市",5,6,0,11,1,11,0,10,0,1,1,5,6,0,5,"Haworthia arachnoidea var. nigricans","Species_5849","Angiosperms","Xanthorrhoeaceae","Xanthorrhoeaceae","Haworthia",NA,"arachnoidea","var.","nigricans","(Haw.) M.B.Bayer","kew-276974","Accepted","2019/03/24 00:00:00","Haworthia_arachnoidea_var._nigricans",8831,"species added to genus root","not_naturalized",0,NA,NA,NA,0,0,0,0,0,0,1,2,"TPL_Tiplabels_LF_fine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,9,10,0,NA,0,0,NA,NA,0,0,1,NA,NA,3
"474","Haworthia coarctata","上海天羽园林绿化有限公司","https://shhtianyu.1688.com",1,1,"pic6633","上海","上海市",1,1,0,1,0,1,0,1,0,1,0,0,1,0,3,"Haworthia coarctata","Species_5868","Angiosperms","Xanthorrhoeaceae","Xanthorrhoeaceae","Haworthia",NA,"coarctata",NA,NA,"Haw.","kew-277053","Accepted","2019/03/24 00:00:00","Haworthia_coarctata",11151,"matched after tpl standardization of phylogeny","not_naturalized",0,"0.3",0.3,"DavesGarden",NA,NA,NA,NA,NA,NA,NA,NA,"TPL_Tiplabels_LF_fine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,9,11,0,NA,0,0,NA,NA,7,8,NA,NA,NA,3
"475","Haworthia cooperi","地缘（厦门）生物科技有限公司; 广州市家绿园艺有限公司; 广州市景邦园林景观工程有限公司; 景之华园林源头厂家; 龙海市榜山小山林花卉园艺场; 龙海市九湖宏叶园艺场; 龙海市九湖俊鹏花卉经营部; 龙海市九湖巧玲园艺场; 龙海市九湖特尔花卉场; 龙海市九湖小萌园艺场; 龙海市九湖永泰花果经营部; 龙海市颜厝承翰园艺场; 龙海市颜厝松宇园艺场; 闽卉（福建）园艺有限公司; 上海贵仁商贸有限公司; 上海小全园艺有限公司; 深圳市龙岗区恒意顺贸易商行; 深圳市龙华区观澜蓝天花卉商行; 圣玛帝实力卖场; 沭阳博奇花木园艺场; 沭阳和泰花木园艺场; 沭阳花满居园艺源头厂家; 沭阳华霆花卉园艺场; 沭阳景佳园艺有限公司; 沭阳县宏之瑞园林绿化苗木场; 沭阳县庙头镇福盈瑞绿化苗木场; 沭阳县庙头镇落花小筑园艺场; 沭阳县品卉苗木园艺场; 沭阳县瑞智花卉苗木园艺场; 沭阳县潼阳镇姐妹双姝花卉销售中心; 沭阳县新河镇昌汇园林苗木场; 沭阳县新河镇道年花木园艺场; 沭阳县新河镇皓鸿花卉绿化苗木场; 沭阳县新河镇小莫花卉苗木场; 沭阳县新河镇欣茂苗木园艺场; 沭阳县秀之园花卉园艺场; 沭阳县颜集镇鼎仁园林绿化苗木场; 沭阳县颜集镇叶枝苑绿化苗木场; 沭阳县颜集镇泽颖萱花卉园艺场; 沭阳县扎下镇小鱼儿花卉园艺场; 沭阳县扎下镇萱咿草苗木场; 沭阳县张圩乡荷塘月色花卉经营部; 沭阳香之缘绿化园艺苗木场; 沭阳轩洋园林有限公司; 宿迁国宏园林绿化工程源头厂家; 宿迁花阿婆电子商务有限公司; 宿迁江丰园艺有限公司; 宿迁市阿里园林绿化工程有限公司; 宿迁裕宏园林绿化有限公司; 魏信娥; 永志花木源头厂家; 漳浦县深土镇绿茵百货店; 漳州绿容花卉有限公司; 漳州紫湖生态农业开发有限公司","https://dyswfj.1688.com; https://shop1411471226935.1688.com; https://jbylin.1688.com; https://shop73807h299bb82.1688.com; https://xiaoshanlin888.1688.com; https://shop8tv36869735n2.1688.com; https://shop1465750961001.1688.com; https://shop1451926371973.1688.com; https://teerflower.1688.com; https://shoplhjhxmyyc.1688.com; https://shop56237973avu94.1688.com; https://lhchyyc.1688.com; https://shop1435856187166.1688.com; https://minhuiyuanyi.1688.com; https://shop425m557dn0640.1688.com; https://shxiaoquanyuanyi.1688.com; https://shop982m1811425k7.1688.com; https://shop4972151822284.1688.com; https://shop1439783300894.1688.com; https://shop1385053043758.1688.com; https://shop77777.1688.com; https://huamanju.1688.com; https://shop3c0a18956i532.1688.com; https://353239238.1688.com; https://shop1442594993169.1688.com; https://shop1491498647250.1688.com; https://shop1461689752332.1688.com; https://xiaochenmiaomu.1688.com; https://shop1411922874804.1688.com; https://shop1427907187293.1688.com; https://shop1433004868405.1688.com; https://daonianhuamu.1688.com; https://shop1425660651964.1688.com; https://shop1460625253881.1688.com; https://shopxinmao.1688.com; https://zhxiu66.1688.com; https://shop1429116696432.1688.com; https://lixiangyang312.1688.com; https://shopzeyingxuan.1688.com; https://huahai.1688.com; https://shop1437757136321.1688.com; https://caozhong.1688.com; https://shop1385484974913.1688.com; https://shop5679212c66k56.1688.com; https://shop8639x60578172.1688.com; https://shop7135592520588.1688.com; https://shop19sa0020904i7.1688.com; https://caohua.1688.com; https://yuhongyuanlin.1688.com; https://shop5h71y35508h26.1688.com; https://shop1398185967906.1688.com; https://cngreen289.1688.com; https://llrcms.1688.com; https://shop087907z33k604.1688.com",54,54,"pic6634; pic6635; pic6636; pic6637; pic6638; pic6639; pic6640; pic6641; pic6642; pic6643; pic6644; pic6645; pic6646; pic6647; pic6648; pic6649; pic6650; pic6651; pic6652; pic6653; pic6654; pic6655; pic6656; pic6657; pic6658; pic6659; pic6660; pic6661; pic6662; pic6663; pic6664; pic6665; pic6666; pic6667; pic6668; pic6669; pic6670; pic6671; pic6672; pic6673; pic6674; pic6675; pic6676; pic6677; pic6678; pic6679; pic6680; pic6681; pic6682; pic6683; pic6684; pic6685; pic6686; pic6687","福建; 广东; 江苏; 上海; 浙江","厦门市; 广州市; 宿迁市; 漳州市; 宁德市; 上海市; 无锡市; 深圳市; 杭州市; 连云港市; 梅州市",5,11,5,49,0,49,5,54,1,1,0,19,35,0,4.46111111111111,"Haworthia cooperi","Species_5873","Angiosperms","Xanthorrhoeaceae","Xanthorrhoeaceae","Haworthia",NA,"cooperi",NA,NA,"Baker","kew-277069","Accepted","2019/03/24 00:00:00","Haworthia_cooperi",11132,"directly matched","not_naturalized",0,"0.15",0.15,"DavesGarden",0,0,0,0,0,0,1,2,"TPL_Tiplabels_LF_fine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,9,11,0,NA,0,0,NA,NA,6,6,1,NA,0,3
"476","Haworthia cooperi var. dielsiana","龙海市九湖巧玲园艺场; 上海天羽园林绿化有限公司; 上海小全园艺有限公司; 魏信娥","https://shop1451926371973.1688.com; https://shhtianyu.1688.com; https://shxiaoquanyuanyi.1688.com; https://shop5h71y35508h26.1688.com",4,4,"pic6688; pic6689; pic6690; pic6691","福建; 上海; 江苏; 广东","漳州市; 上海市; 无锡市; 梅州市",4,4,0,4,0,4,0,4,0,1,0,2,2,0,5.125,"Haworthia cooperi var. dielsiana","Species_5874","Angiosperms","Xanthorrhoeaceae","Xanthorrhoeaceae","Haworthia",NA,"cooperi","var.","dielsiana","(Poelln.) M.B.Bayer","kew-277071","Accepted","2019/03/24 00:00:00","Haworthia_cooperi_var._dielsiana",8844,"species added to genus root","not_naturalized",0,"0.15",0.15,"DavesGarden",0,0,0,0,0,0,1,2,"TPL_Tiplabels_LF_fine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,9,11,0,NA,0,0,NA,NA,5,6,1,NA,NA,3
